angDist,_RAJ2000,_DEJ2000,recno,Name,m_Name,H09,logg,Teff,Fbol,[Fe/H],[a/Fe],RAJ2000,DEJ2000,RV,ageMLP,M.MLP,SimbadName2,_RAJ20002,_DEJ20002,recno2,Tycho2,more,Name2,Dist2,chi2,Av2,Fbol2,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad2,_RA2,_DE2
0.633111,40.639167,-50.800278,10064,HD 17051,,H09,4.39,6163.0,1.8158E-7,0.06,-0.04,02 42 33.4,-50 48 01,16.7,0.6,1.16,HD 17051,40.6394442,-50.8002933,435,8056-1164-1,*,iota Hor b,17.37,1.03,0.0,1.8E-7,302.68,1.13,,1.34,,2.27,1,Simbad,40.623944,-50.80029
1.547200,278.064167,6.945556,10081,HD 171028,,H09,,5586.0,1.3987E-8,-0.52,0.29,18 32 15.4,+06 56 44,13.1,,,HD 171028,278.064555,6.9457467,29,458-1450-1,*,HD 171028 b,112.87,1.33,0.04,1.4E-8,101.61,2.47,,1.53,,2.62,1,Simbad,278.06455,6.94575
1.228326,10.802083,-37.9825,171,HD 4113,,H09,4.34,5687.0,1.9203E-8,0.24,-0.06,00 43 12.5,-37 58 57,4.0,7.2,1.02,HD 4113,10.8024825,-37.9826314,405,7532-852-1,*,HD 4113 b,41.69,1.13,0.0,1.9E-8,118.34,1.06,,0.82,,,1,Simbad,10.80248,-37.98263
0.816689,11.110833,-26.515556,173,HD 4208,,H09,4.53,5686.0,2.1413E-8,-0.21,0.1,00 44 26.6,-26 30 56,56.2,0.1,0.96,HD 4208,11.1110439,-26.5156819,352,6423-1832-1,*,HD 4208 b,34.01,0.71,0.0,2.1E-8,126.15,0.92,,0.9,,0.82,1,Simbad,11.11104,-26.51568
1.029570,13.799167,-47.405833,218,HD 5388,,H09,4.0,6260.0,5.3656E-8,-0.17,0.05,00 55 11.8,-47 24 21,39.2,3.2,1.34,HD 5388,13.7995414,-47.4059656,430,8031-1-1,*,HD 5388 b,53.02,0.76,0.0,5.4E-8,163.2,1.86,,2.19,,,1,Simbad,13.79954,-47.40597
0.824632,16.167083,-39.488056,257,HD 6434,,H09,4.34,5824.0,2.2418E-8,-0.51,0.24,01 04 40.1,-39 29 17,22.9,11.0,0.91,HD 6434,16.1672931,-39.4882178,406,7533-1111-1,*,HD 6434 b,42.4,1.58,0.0,2.2E-8,122.84,1.12,,1.1,,0.49,1,Simbad,16.16729,-39.48822
0.991931,16.9525,-8.233611,271,HD 6718,,H09,4.42,5863.0,1.1907E-8,-0.11,0.06,01 07 48.6,-08 14 01,34.1,2.8,1.01,HD 6718,16.9527625,-8.2337028,295,5273-16-1,*,HD 6718 b,50.66,1.04,0.0,1.2E-8,87.32,0.95,,1.08,,1.68,1,Simbad,16.95276,-8.2337
0.655629,18.622083,-5.047222,298,HD 7449,,H09,4.42,6031.0,2.7097E-8,-0.21,0.11,01 14 29.3,-05 02 50,-20.0,0.1,1.07,HD 7449,18.6221694,-5.0473825,256,4683-883-1,*,HD 7449 b,36.85,1.87,0.0,2.7E-8,122.48,0.97,,1.14,,1.38,1,Simbad,18.62217,-5.04738
0.491143,20.905,-41.269722,333,HD 8535,,H09,4.33,6157.0,2.1943E-8,-0.06,0.02,01 23 37.2,-41 16 11,2.4,3.0,1.14,HD 8535,20.9051492,-41.2697997,407,7544-986-1,*,HD 8535 b,55.28,1.23,0.0,2.2E-8,106.93,1.27,,1.55,,,1,Simbad,20.90515,-41.2698
0.234146,21.302083,28.566667,335,HD 8574,,H09,4.21,6086.0,3.7944E-8,-0.03,0.0,01 25 12.5,+28 34 00,18.6,4.6,1.15,HD 8574,21.3021494,28.5666958,92,1754-192-1,*,HD 8574 b,44.35,0.92,0.0,3.8E-8,145.04,1.38,,1.34,,2.03,1,Simbad,21.30215,28.5667
0.460993,287.262917,34.599722,10419,HD 178911,B,H09,4.39,5787.0,1.9953E-8,0.15,-0.05,19 09 03.1,+34 35 59,-40.6,0.2,0.99,HD 178911,287.2629125,34.59985,152,2648-2151-1,*,HD 178911 B b,41.51,5.01,0.0,1.9E-8,121.55,1.08,,1.24,,8.03,1,Simbad,287.26291,34.59985
0.789391,291.289583,-66.468611,10510,HD 181433,,H09,4.55,4895.0,1.4846E-8,0.34,-0.07,19 25 09.5,-66 28 07,39.6,11.0,0.82,HD 181433,291.2898661,-66.4687989,484,9083-198-1,*,HD 181433 b,26.91,4.31,0.0,1.4E-8,135.95,0.79,,0.63,,0.02,1,Simbad,291.28987,-66.4688
0.785528,34.560417,65.594167,555,HD 13908,,H09,4.03,6149.0,2.6149E-8,-0.02,-0.02,02 18 14.5,+65 35 39,16.1,3.5,1.31,HD 13908,34.5606719,65.5943581,231,4054-322-1,*,HD 13908 b,79.97,1.96,0.0,2.6E-8,113.68,1.95,,1.79,,,1,Simbad,34.56067,65.59436
0.468314,38.832917,-3.560556,649,HD 16141,,H09,4.09,5780.0,5.0446E-8,0.02,0.07,02 35 19.9,-03 33 38,-51.2,8.1,1.07,HD 16141,38.8330383,-3.5606036,260,4701-1095-1,*,HD 16141 b,37.29,1.36,0.0,5.0E-8,184.9,1.48,,1.11,,0.26,1,Simbad,38.83304,-3.5606
0.483947,39.257917,42.0625,650,HD 16175,,H09,4.04,5930.0,3.2315E-8,0.29,-0.08,02 37 01.9,+42 03 45,21.4,3.9,1.29,HD 16175,39.2579631,42.06263,164,2840-1669-1,*,HD 16175 b,58.35,0.91,0.0,3.2E-8,136.92,1.72,,1.63,,5.1,1,Simbad,39.25796,42.06263
0.743711,294.29875,28.499722,10680,HD 185269,,H09,3.97,6107.0,6.2078E-8,0.22,-0.08,19 37 11.7,+28 29 59,0.2,3.1,1.39,HD 185269,294.2989217,28.4998631,124,2150-5013-1,*,HD 185269 b,52.36,1.71,0.0,5.6E-8,177.87,2.0,,1.57,,1.09,1,Simbad,294.29892,28.49986
0.698257,295.46625,50.5175,10741,HD 186427,B,H09,4.33,5795.0,9.1959E-8,0.13,-0.04,19 41 51.9,+50 31 03,-28.1,5.5,1.04,HD 186427,295.4665525,50.517525,214,3565-1525-1,*,16 Cyg B b,21.22,2.45,0.0,9.0E-8,248.82,1.13,,1.08,,1.78,1,Simbad,295.46655,50.51752
0.193554,300.182083,22.710833,10880,HD 189733,,H09,4.58,5022.0,2.7666E-8,-0.13,-0.07,20 00 43.7,+22 42 39,-3.0,2.3,0.79,HD 189733,300.1821367,22.7108539,122,2141-972-1,*,HD 189733 b,19.84,1.77,0.0,2.7E-8,175.76,0.75,2.65,0.79,1.13,1.13,1,Simbad,300.18214,22.71085
1.176774,300.752917,28.306667,10898,HD 190228,,H09,3.75,5264.0,3.6788E-8,-0.25,0.23,20 03 00.7,+28 18 24,-50.9,4.6,1.27,HD 190228,300.7532192,28.3068569,125,2153-1463-1,*,HD 190228 b,,2.13,0.0,3.6E-8,186.35,,,,,,1,Simbad,300.75322,28.30686
