angDist,_RAJ2000,_DEJ2000,recno,Tycho,more,Name,Dist,chi2,Av,Fbol,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad,_RA,_DE,_RAJ2000_2,_DEJ2000_2,HIP,RAJ2000,DEJ2000,D,dplx,AV,Teff,L,Rad,log(g),T(AV),L(Av),T(ABJ),L(ABJ),Q,X(MIR),X'(MIR),S(MIR),Rmax,L(XS),f(XS),l(XS),G/H,F(U),F(u),F(BT),F(B),F(g),F(Hp),F(VT),F(V),F(r),F(i),F(I),F(z),F(J),F(H),F(Ks),F(W1),F(L),F(W2),F(MA),F(A9),F(W3),F(I12),F(MC),F(MD),F(A18),F(ME),F(W4),F(I25),Gaia
0.014169,13.7558325,0.7895561,2,12-104-1,*,HD 5319 b,119.64,3.03,0.06,2.0E-8,163.12,4.19,,1.44,,1.71,1,Simbad,13.75583,0.78956,13.755835,0.78955306,4297,13.755835,0.789553,119.644,0.032,0.206,4804,9.119,4.365,3.131,4818,9.297,0,0.0,0.039,1.024,1.022,1.181,1.088,5.0E-4,5.1E-5,5.9,G,,,728.831,,,1954.518,2049.762,,,,3802.124,,4605.622,4620.617,3502.115,1645.572,,,,320.201,163.494,,,,,,46.726,,Gaia
0.027415,67.8560581,4.5752939,6,90-645-1,*,HD 28678 b,191.09,1.41,0.18,1.9E-8,169.89,6.98,,3.16,,2.55,1,Simbad,67.85606,4.57529,67.856055,4.57528694,21109,67.856055,4.575287,191.085,0.047,2.295,4582,19.424,7.003,2.726,4747,21.841,0,0.0,0.055,1.077,1.085,2.672,1.22,0.0029,1.48E-4,6.0,G,,,520.747,,,1433.11,1429.892,1683.542,2242.984,,2984.188,,4204.248,4300.312,3265.355,1590.438,,,,346.101,160.51,,,,,,46.255,,Gaia
0.080615,73.0238831,6.4765506,7,96-602-1,*,GJ 179 b,,1.04,0.0,3.4E-9,141.42,,,,,,1,Simbad,73.02388,6.47655,73.02386389,6.47653889,22627,73.023864,6.476539,12.39,0.004,0.781,3249,0.016,0.404,4.402,3255,0.017,0,0.0,0.104,1.076,1.087,0.815,1.306,0.0,0.0,0.0,G,,,,,,63.253,76.578,60.901,,,,,1193.681,1338.751,1114.629,,,,,151.9,,,,,,,,,Gaia
0.007588,77.9435389,4.4035381,8,107-1139-1,*,HD 33636 b,29.44,0.65,0.0,4.3E-8,159.28,1.01,,1.34,,11.09,1,Simbad,77.94354,4.40354,77.94353694,4.40353889,24205,77.943537,4.403539,29.443,0.024,0.898,5922,1.118,1.006,4.452,6088,1.218,0,0.0,0.026,1.039,1.043,1.673,1.048,0.0,0.0,0.0,G,,,3219.784,,,5269.866,5687.263,5554.23,,,,,6762.205,5716.102,3936.683,,,,,333.199,,,,,,,,,Gaia
0.033268,79.4207517,7.3533481,9,112-182-1,*,HD 34445 b,45.37,2.1,0.0,3.2E-8,141.88,1.38,,1.14,,0.82,1,Simbad,79.42075,7.35335,79.42074389,7.35334306,24681,79.420744,7.353343,45.366,0.013,11.026,5720,2.032,1.454,4.1,7559,5.178,0,0.0,0.036,1.107,1.116,2.988,1.109,0.0,0.0,0.0,G,,,2248.158,,,3920.664,4120.058,,,,,,5671.374,4689.213,3220.553,,,,,299.4,,,,,,,,,Gaia
0.008180,86.6454692,1.1681933,10,116-1316-1,*,HD 38529 b,,4.87,0.0,1.1E-7,287.55,,,,,,0,Simbad,86.64547,1.16819,86.64546694,1.16819306,27253,86.645467,1.168193,39.277,0.016,3.646,5513,5.324,2.533,3.604,5914,6.952,0,0.0,0.087,1.17,1.223,2.151,1.187,0.0,0.0,0.0,H,,,6960.281,,,13858.607,14821.881,15311.716,,,,,17397.559,18059.26,13788.926,,,,,,,,,,327.2,,,,Gaia
0.024635,85.0072008,6.0605758,11,127-402-1,*,HD 37605 b,46.34,0.68,0.0,9.9E-9,95.7,0.95,,0.68,,2.17,1,Simbad,85.0072,6.06058,85.00720694,6.06057889,26664,85.007207,6.060579,46.34,0.013,2.705,5315,0.653,0.955,4.384,5567,0.788,0,0.0,0.025,0.0,0.0,0.0,1.03,0.0,0.0,0.0,G,,,501.911,,,1105.909,1181.689,1237.724,,,,,1977.372,1753.477,1252.941,,,,,,,,,,,,,,Gaia
0.021643,98.3025931,5.4629244,12,154-891-1,*,HD 46375 b,,0.8,0.0,2.0E-8,140.64,,,,,,0,Simbad,98.30259,5.46292,98.30259889,5.46292611,31246,98.302599,5.462926,34.819,0.031,11.574,4990,0.844,1.231,4.165,6361,1.868,0,0.0,0.174,0.905,0.853,0.0,2.331,0.0,2.5E-5,4.8,H,,,973.255,,1831.582,2255.899,2351.274,2651.086,3317.617,,3966.672,,4184.931,3815.048,2654.181,3769.787,,,293.188,286.7,139.541,,,,,,45.161,,Gaia
0.017820,133.7817569,1.5465042,16,213-177-1,*,GJ 328 b,,1.45,0.0,7.1E-9,151.5,,,,,,1,Simbad,133.78176,1.5465,133.78176,1.54650806,43790,133.78176,1.546508,20.671,0.005,0.324,3936,0.096,0.666,4.106,4007,0.097,0,0.0,0.027,0.0,0.0,0.0,1.051,0.0,0.0,0.0,G,,,81.927,,,359.418,333.352,376.898,,,,,2118.792,2518.256,1919.245,,,,,,,,,,,,,,Gaia
0.006250,130.6046756,4.5780964,17,219-1438-1,*,HD 74156 b,,1.16,0.0,2.4E-8,115.71,,,,,,0,Simbad,130.60468,4.5781,130.60467611,4.57809806,42723,130.604676,4.578098,64.433,0.035,0.298,5661,2.902,1.773,3.913,5738,2.978,0,0.0,0.123,1.006,1.083,0.008,1.252,0.0,0.0,0.0,H,467.333,,1854.5,,,3000.541,3183.489,,,,,,3788.683,3161.549,2189.427,,,,,197.3,,,,,,,,,Gaia
0.008162,164.6989011,1.7292156,18,255-946-1,*,HD 95089 b,,5.46,0.03,2.3E-8,169.98,,,,,,0,Simbad,164.6989,1.72922,164.69889889,1.72921611,53666,164.698899,1.729216,139.082,0.115,0.168,4857,13.476,5.192,2.97,4871,13.605,0,0.0,0.036,1.021,1.022,1.29,1.064,5.0E-4,3.6E-5,5.8,H,,,869.014,,,2184.136,2264.14,,,,,,5087.311,5015.335,3745.678,1769.77,,,,332.301,175.187,,,,,,50.299,,Gaia
0.029311,171.6928258,3.0063214,19,267-1200-1,*,HD 99492 b,18.22,4.42,0.0,3.2E-8,211.16,0.83,,0.48,,0.07,1,Simbad,171.69283,3.00632,171.69282111,3.00632806,55848,171.692821,3.006328,18.222,0.005,0.578,4945,0.337,0.792,4.491,4946,0.348,0,0.0,0.053,0.0,0.0,0.0,1.119,0.0,0.0,0.0,G,,,1277.106,,,3126.652,3761.0,3383.95,,,,,7272.577,7064.801,5266.601,,,,,,,,,,,,,,Gaia
0.018583,176.42622,2.8214789,20,275-157-1,*,HD 102195 b,29.4,1.47,0.0,1.8E-8,130.44,0.82,,0.76,,0.41,1,Simbad,176.42622,2.82148,176.42621694,2.82148306,57370,176.426217,2.821483,29.395,0.007,0.361,5244,0.466,0.828,4.508,5119,0.463,0,0.0,0.042,1.106,1.12,2.699,1.113,0.0,0.0,0.0,G,,,901.627,,,1942.136,2057.327,,,,,,3555.399,3184.93,2309.566,,,,,213.2,,,,,,,,,Gaia
0.003470,176.6943542,3.4742936,21,275-243-1,*,HD 102329 b,229.31,1.12,0.07,2.7E-8,199.23,9.82,,3.21,,8.16,1,Simbad,176.69435,3.47429,176.694355,3.47429306,57467,176.694355,3.474293,229.312,0.069,0.231,4678,41.714,9.846,2.43,4619,41.669,0,0.0,0.032,1.01,1.003,0.677,1.051,9.0E-4,2.1E-5,5.8,G,,,813.255,,,2270.699,2368.663,2629.202,3221.263,,4562.746,,6065.803,6308.12,4603.948,2254.845,,,,413.199,223.204,,,,,,63.85,,Gaia
0.020709,248.2127106,2.0848275,25,386-86-1,*,HD 149143 b,74.33,2.79,0.0,1.8E-8,101.96,1.63,,1.73,,1.69,1,Simbad,248.21271,2.08483,248.21270694,2.08483194,81022,248.212707,2.084832,74.327,0.019,0.576,5769,3.122,1.771,3.956,5916,3.325,0,0.0,0.052,1.081,1.11,2.585,1.269,3.0E-4,8.8E-5,6.1,G,,,1292.489,,,2288.967,2441.762,2588.355,,,,,3154.193,2490.577,1779.633,829.31,,,,190.7,85.016,,,,,,22.676,,Gaia
0.006038,263.3397733,5.7007314,26,426-1099-1,*,HD 159243 b,74.14,1.3,0.0,9.3E-9,70.79,1.13,,1.65,,,1,Simbad,263.33977,5.70073,263.33977306,5.70073306,85911,263.339773,5.700733,74.138,0.024,0.774,6059,1.569,1.138,4.369,6175,1.669,0,0.0,0.022,0.992,0.986,0.0,1.037,0.0,0.0,0.0,G,,,747.871,,,1158.776,1235.103,,,,,,1479.409,1174.627,803.768,388.613,,206.914,,,38.116,,,,,,,,Gaia
0.018030,270.380115,0.1045564,27,430-2613-1,*,HD 164509 b,53.86,4.25,0.0,1.5E-8,93.12,1.08,,1.14,,,1,Simbad,270.38011,0.10456,270.38012,0.10455611,88268,270.38012,0.104556,53.864,0.013,2.509,5799,1.395,1.172,4.322,6169,1.681,0,0.0,0.038,1.048,1.069,2.342,1.116,1.0E-4,4.3E-5,5.3,G,,,1126.748,,1717.221,1901.777,2021.638,2180.84,2407.832,,2551.68,,2674.782,2209.53,1547.143,713.045,,413.99,,142.0,73.774,,,,,,,,Gaia
0.009191,283.9203508,4.2653233,28,457-495-1,*,HD 175541 b,136.02,2.46,0.0,2.0E-8,152.91,4.47,,2.12,,0.72,1,Simbad,283.92035,4.26532,283.92034889,4.265325,92895,283.920349,4.265325,136.019,0.038,46.738,4959,11.805,4.661,3.076,76128,64099.0,0,0.0,0.065,1.029,1.03,1.137,1.234,0.0014,1.15E-4,5.7,G,,,886.802,,,2032.542,2156.271,2373.689,,,3749.957,,4443.123,4260.886,3106.923,1609.596,,,326.788,293.299,145.715,,,,,,36.573,,Gaia
0.007016,304.0250167,4.5807936,31,504-2358-1,*,HD 192699 b,69.56,1.66,0.0,7.9E-8,288.29,4.31,,1.61,,2.32,1,Simbad,304.02502,4.58079,304.02501806,4.580795,99894,304.025018,4.580795,69.558,0.024,0.875,5049,12.608,4.647,3.068,5174,13.505,0,0.0,0.028,0.991,0.985,0.0,1.039,2.0E-4,1.5E-5,5.8,G,,,3832.011,,,8600.418,9080.366,9741.456,,,,,17429.636,18462.902,11954.474,6035.549,,,,1074.997,582.778,,,,257.401,,164.574,,Gaia
0.002109,316.6660094,3.8031186,32,534-2537-1,*,HD 200964 b,71.67,5.9,0.0,8.2E-8,304.65,4.69,,1.97,,2.27,1,Simbad,316.66601,3.80312,316.66600889,3.80311889,104202,316.666009,3.803119,71.671,0.037,0.714,4957,12.391,4.779,3.052,5018,12.913,0,0.0,0.104,1.014,1.05,0.594,1.14,6.0E-4,4.9E-5,5.8,G,,,3586.136,,,8286.28,8727.771,,,,9239.027,,19128.826,16853.882,12868.575,5881.888,,,,1107.998,596.352,,,,250.199,,169.653,,Gaia
0.046325,353.9553542,0.4455122,33,585-774-1,*,HIP 116454 b,61.63,3.02,0.0,2.7E-9,54.7,0.72,3.0,0.81,0.22,0.04,1,Simbad,353.95535,0.44551,353.95534194,0.44551611,116454,353.955342,0.445516,61.632,0.015,0.34,4971,0.316,0.758,4.546,5149,0.325,0,0.0,0.035,0.0,0.0,0.0,1.06,0.0,0.0,0.0,G,,,107.703,,167.968,274.688,294.648,310.902,395.208,,487.558,,576.618,567.937,409.572,,,,,,,,,,,,,,Gaia
