angDist,_RAJ2000,_DEJ2000,recno,Tycho,more,Name,Dist,chi2,Av,Fbol,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.103582,3.9617094,1.2004422,1,2-1155-1,*,WASP-32 b,232.42,0.58,0.06,6.9E-10,19.02,0.95,1.18,0.72,0.96,2.63,1,Simbad,3.96171,1.20044,00155080+0112016,3.961682,+1.200451,0.070,0.070,90,10.503,10.248,10.161,0.022,0.028,0.023,AAA,222,0,2451872.7721
0.102868,13.7558325,0.7895561,2,12-104-1,*,HD 5319 b,119.64,3.03,0.06,2.0E-8,163.12,4.19,,1.44,,1.71,1,Simbad,13.75583,0.78956,00550140+0047223,13.755861,+0.789554,0.110,0.080,0,6.348,5.864,5.699,0.027,0.044,0.020,AAA,111,0,2451772.7813
0.108174,29.2633625,0.7588514,3,30-116-1,*,WASP-71 b,299.15,0.45,0.0,1.4E-9,28.28,1.82,0.18,0.76,1.18,1.39,1,Simbad,29.26336,0.75885,01570320+0045318,29.263338,+0.758834,0.060,0.060,90,9.636,9.416,9.320,0.022,0.022,0.023,AAA,222,0,2451783.8696
0.103483,25.4714289,2.7043822,4,32-383-1,*,HD 10442 b,129.65,2.31,0.06,2.5E-8,169.77,4.73,,2.58,,2.94,1,Simbad,25.47143,2.70438,01415314+0242157,25.471457,+2.704376,0.220,0.080,90,6.158,5.729,5.590,0.018,0.031,0.016,AAA,111,0,2451816.6765
0.031745,72.6606667,1.8939133,5,88-57-1,*,WASP-82 b,277.72,0.62,0.13,2.9E-9,35.22,2.1,0.22,1.48,1.62,1.17,1,Simbad,72.66067,1.89391,04503856+0153381,72.660671,+1.893921,0.080,0.060,0,9.046,8.868,8.759,0.024,0.025,0.023,AAA,222,0,2451570.5841
0.137242,67.8560581,4.5752939,6,90-645-1,*,HD 28678 b,191.09,1.41,0.18,1.9E-8,169.89,6.98,,3.16,,2.55,1,Simbad,67.85606,4.57529,04312544+0434309,67.856031,+4.575267,0.100,0.060,90,6.447,5.942,5.775,0.024,0.053,0.023,AAA,111,0,2451569.6151
0.056538,73.0238831,6.4765506,7,96-602-1,*,GJ 179 b,,1.04,0.0,3.4E-9,141.42,,,,,,1,Simbad,73.02388,6.47655,04520573+0628356,73.023880,+6.476566,0.060,0.060,90,7.814,7.209,6.942,0.024,0.046,0.018,AAA,111,0,2451555.7190
0.079424,77.9435389,4.4035381,8,107-1139-1,*,HD 33636 b,29.44,0.65,0.0,4.3E-8,159.28,1.01,,1.34,,11.09,1,Simbad,77.94354,4.40354,05114645+0424127,77.943561,+4.403537,0.060,0.060,90,5.931,5.633,5.572,0.020,0.023,0.018,AAA,111,0,2451572.5389
0.085026,79.4207517,7.3533481,9,112-182-1,*,HD 34445 b,45.37,2.1,0.0,3.2E-8,141.88,1.38,,1.14,,0.82,1,Simbad,79.42075,7.35335,05174097+0721119,79.420741,+7.353327,0.080,0.060,0,6.122,5.848,5.790,0.020,0.027,0.023,AAA,111,0,2451524.8992
0.226876,86.6454692,1.1681933,10,116-1316-1,*,HD 38529 b,,4.87,0.0,1.1E-7,287.55,,,,,,0,Simbad,86.64547,1.16819,05463492+0110053,86.645515,+1.168150,0.130,0.130,90,4.905,4.384,4.211,0.228,0.076,0.036,DEE,311,0,2451461.8843
