teff,rad,fbol_sed,fbol_bc
6150.584125197554,0.95,6.9e-10,6.88091130126228e-10
4873.188819326129,4.19,2e-08,2.1620302926088026e-08
6020.071549580687,1.82,1.4e-09,1.3942928732743865e-09
5050.843061510218,4.73,2.5e-08,2.6427958482908402e-08
6471.6373120294875,2.1,2.9e-09,2.9268018032537274e-09
4714.263339890579,6.98,1.9e-08,1.8632454265871936e-08
3360.652900552405,,3.4e-09,3.492042502689807e-09
5971.670505721036,1.01,4.3e-08,4.299210942132329e-08
5876.736945714221,1.38,3.2e-08,3.357151528553554e-08
5620.834937653436,,1.1e-07,1.264998286886175e-07
5336.569580970206,0.95,9.9e-09,9.918402658431189e-09
5248.224649119942,,2e-08,2.005444962981551e-08
6069.203907551606,3.82,3e-10,2.9543946804341436e-10
6334.047026106243,1.31,1.9e-09,1.8881799416947278e-09
5297.686583753891,,1.5e-09,1.4843785963715418e-09
3903.171350379067,,7.1e-09,7.10056372714195e-09
6055.872322268584,,2.4e-08,2.489568271979204e-08
4943.589409015697,,2.3e-08,2.3995994290353815e-08
4817.159368242719,0.83,3.2e-08,3.1283743876532264e-08
5307.892001690442,0.82,1.8e-08,1.800859563061231e-08
4753.055879829628,9.82,2.7e-08,2.6563717701018752e-08
5072.8618554989425,0.87,6.9e-10,6.730997873622401e-10
6075.9711031013485,1.42,6.9e-10,6.736392501966908e-10
4728.987240470698,,2.7e-07,2.5351483891170516e-07
6003.611204777988,1.63,1.8e-08,1.9740831495290443e-08
6108.634316434044,1.13,9.3e-09,9.37099597356171e-09
6002.202974189578,1.08,1.5e-08,1.7150450790389633e-08
5033.254625939066,4.47,2e-08,2.0866714470001505e-08
5647.719642415037,2.47,1.4e-08,1.4213558095977277e-08
6339.524207967739,2.05,1.2e-09,1.1283785524505603e-09
5167.7480329737755,4.31,7.9e-08,8.642902840222058e-08
5074.137345972171,4.69,8.2e-08,8.838589894628599e-08
5101.01528016634,0.72,2.7e-09,2.854822806748292e-09
5018.193998426598,,1.5e-08,1.5915610673371106e-08
5009.699766770097,4.91,2.5e-08,2.572009869906839e-08
6137.584581876616,1.75,3.7e-08,3.799666871934612e-08
5258.447699284612,0.96,1.7e-08,1.5825819165469085e-08
6358.256887269937,1.38,5.5e-10,5.32627602987403e-10
6358.256887269937,1.38,5.5e-10,1.3565120926501746e-10
4095.207355484679,,2e-06,2.228116641811302e-06
4932.003314179092,2.63,1.6e-08,1.743606704478693e-08
4282.16779735005,39.59,5.3e-09,6.092101528753278e-09
4910.135595936419,3.17,2.4e-08,2.630365497396533e-08
5974.108955921584,1.1,4.3e-08,4.336187631210109e-08
5857.162825261731,1.1,2.9e-08,2.9255146869735184e-08
4812.845467364211,10.3,1.3e-08,1.2524311249527024e-08
5518.839326093066,1.84,2.7e-07,2.312025623513953e-07
4949.379980175672,,3.3e-08,3.747704009508314e-08
6177.497661849857,1.52,5.1e-09,5.0985303026381535e-09
5102.499210155173,4.8,1.6e-08,1.5925673735135492e-08
6317.833376794457,1.85,1.6e-09,1.4454763842795019e-09
5841.819533080139,1.24,1.4e-08,1.4181907633415228e-08
5965.406661947941,1.23,1.9e-08,1.9590916615911987e-08
4754.992645064126,,4.4e-07,5.174580112372641e-07
6280.436118174423,,7.4e-08,7.887791520359692e-08
5030.26847909197,,1.9e-07,2.0134620874760229e-07
4858.683858508098,0.86,4.8e-09,4.71665743526584e-09
5934.248842787831,1.65,3.9e-08,3.9248145215266295e-08
5107.3239936527425,,1.3e-07,1.1724125258857997e-07
5589.367722099479,1.42,9.1e-09,9.135854533810736e-09
4674.621682882788,10.64,2.1e-08,2.0566045938377925e-08
5612.629003999548,,8.3e-08,8.795893144002675e-08
5498.862482650402,1.04,1.1e-08,1.0675222803819089e-08
5731.006317349001,1.08,1.2e-09,1.1715703889100586e-09
4486.134559625271,0.69,2.8e-09,2.7986486539756844e-09
5788.227037436427,1.3,2.6e-08,2.7259705892538422e-08
4894.48635897462,,1.2e-06,1.1171937006250158e-06
3703.9179484653177,0.46,1.3e-08,1.3235439632444037e-08
5530.859381531376,,2.4e-08,2.4313300679836668e-08
6137.377273989688,1.22,6.5e-10,6.596337156569833e-10
6204.344672628111,1.15,1.8e-09,1.7984612087782706e-09
5734.242655253834,0.91,2.2e-08,2.2279447346617543e-08
4793.261755133553,,3.1e-09,3.166518423640945e-09
4253.276649694042,71.02,7.5e-09,7.704524221379673e-09
5394.398069496469,2.01,1.8e-08,1.8033242333427033e-08
4885.982687698905,10.06,9e-08,9.217815373702732e-08
4839.582456199116,,4.1e-07,4.903307376129248e-07
4881.926566664235,7.19,2.9e-08,2.8860449959402154e-08
5861.699627203124,1.2,3.3e-08,3.262634891803294e-08
6465.215911459924,,4e-07,3.629053900682793e-07
4908.122101549434,5.54,2.7e-08,2.7985167480401495e-08
6474.654342484569,1.4,3.4e-09,3.2850794026840222e-09
4940.302851079419,4.63,3.7e-08,3.8564966423091115e-08
6168.4695469803655,1.42,7e-09,6.934976846317561e-09
6468.011187872802,1.73,1.9e-09,1.8400154903188612e-09
5904.290133267627,0.96,3.5e-10,3.403373486884065e-10
5745.432364723272,1.48,4.8e-08,5.147217751995057e-08
4885.929266180373,,1.3e-07,1.0500324115013542e-07
6065.350056519891,1.19,2.3e-08,2.2828382968180867e-08
4019.8373594445275,,1.6e-07,3.3562235478195085e-07
5835.706959174083,1.56,1.6e-08,1.6643048158167102e-08
5770.021490552665,,1.8e-07,1.7982247340897665e-07
6067.521867376564,1.38,3.8e-08,3.7027316969194976e-08
5878.398396705047,,1.3e-08,1.2645173133068253e-08
4551.814861780313,,5.8e-06,6.966382260448956e-06
5671.059559428235,1.2,3e-08,2.8390173228204682e-08
6315.799366570196,1.41,4.2e-08,4.017958966299834e-08
5357.406991816103,,5e-10,5.105732356954698e-10
5357.406991816103,,5e-10,2.316637303705772e-10
5749.440067409332,,2.5e-08,2.542474027863871e-08
6308.3436582293825,1.59,7.7e-10,7.409167651528696e-10
6007.637586054969,,4.9e-08,4.819414966073468e-08
6514.021448797974,1.47,1.1e-09,1.0970852701220023e-09
5205.012609974587,,1.2e-07,1.2187861966557625e-07
5719.12852020723,,1.6e-08,1.5709800532324366e-08
4517.528696770179,,1.1e-06,9.448109192438733e-07
6190.551457711743,,2.7e-09,2.703020942725507e-09
5190.7769418179705,0.74,2.5e-08,2.482789202225403e-08
3413.995638367119,,7.6e-09,7.888714779256638e-09
5604.7845755886465,0.96,3.9e-10,3.7166330947577465e-10
5606.875845199659,1.05,8.9e-09,9.10774711658018e-09
4824.931848174358,4.89,2.5e-08,2.4404036608023476e-08
4747.91414940477,,2.1e-07,2.552088160854476e-07
4329.86283359253,,9.1e-07,8.595842503895997e-07
4763.983835130077,10.52,8.3e-08,8.66146969411949e-08
5719.398487802567,0.88,1e-09,9.941003298622938e-10
3721.8634321217583,0.5,1.3e-08,1.3104306559221056e-08
4830.230095149578,,1.5e-08,1.582580400739869e-08
4850.621863674425,4.5,3.5e-08,3.5116749225397173e-08
6059.206361588248,1.39,7.1e-10,7.041758292168263e-10
5369.304395118139,0.97,4.6e-08,4.838736633607841e-08
5797.363638020317,1.46,1.6e-09,1.4451583928793734e-09
4905.06668537637,3.26,4.5e-08,4.965430051415783e-08
5060.46313812375,0.75,2.7e-08,2.7613974260903704e-08
5749.041068545027,,1.4e-08,1.4520063562186334e-08
6036.775159727309,2.0,5.6e-08,5.9127926962984414e-08
5281.049926007215,,3.6e-08,3.706277644429977e-08
